"","Player","Tm","season21_22"
"431","CJ Elleby","POR",1517981
"432","Isaiah Joe","PHI",1517981
"433","Naji Marshall","NOP",1517981
"434","Jordan Nwora","MIL",1517981
"435","Nick Richards","CHO",1517981
"436","Sam Merrill","MEM",1517981
"437","Anthony Gill","WAS",1517981
"438","Paul Reed","PHI",1517981
"439","Kenyon Martin Jr.","HOU",1517981
"440","Jae'Sean Tate","HOU",1517981
"441","Lamar Stevens","CLE",1517981
"442","Isaiah Todd","WAS",1500000
"443","Saben Lee","DET",1489065
"444","Omer Yurtseven","MIA",1489065
"445","Armoni Brooks","HOU",1489065
"446","Jaylen Morris","SAS",1489065
"447","J.R. Smith","CLE",1456666
"448","George Hill","PHI",4e+06
"449","DeMarre Carroll","SAS",1252127
"450","JT Thor","CHO",1250000
"451","Jason Preston","LAC",1062303
"452","Isaiah Livers","DET",1057260
"453","Guerschon Yabusele","BOS",1039080
"454","Kyle Singler","OKC",999200
"455","Jared Butler","UTA",925258
"456","Greg Brown III","POR",925258
"457","Miles McBride","NYK",925258
"458","Brandon Boston Jr.","LAC",925258
"459","Marko Simonovic","CHI",925258
"460","Vit Krejci","OKC",925258
"461","Charles Bassey","PHI",925258
"462","Dalano Banton","TOR",925258
"463","Jock Landale","SAS",925258
"464","Ayo Dosunmu","CHI",925258
"465","Georgios Kalaitzakis","MIL",925258
"466","Denzel Mahoney","SAS",925258
"467","Austin Reaves","LAL",925258
"468","Luka Garza","DET",925258
"469","Shaun Livingston","GSW",666666
"470","Sam Dekker","TOR",350000
"471","Ish Wainright","TOR",NA
"472","Troy Williams","HOU",122741
"473","Jabari Parker","BOS",2239544
"474","Demetrius Jackson","BOS",92857
